,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Israel,Israel,GPE,0.18852173,0.68327602,en,15.20000000,4027808-6,294640,A,31.5,34.75,EUROPE-AFRICA,Israel,MED
Lebanon,Lebanon,GPE,0.11194030,0.37437811,en,6.70000000,4035567-6,272103,A,33.83333,35.83333,EUROPE-AFRICA,Lebanon,MED
US,US,GPE,0.11538462,0.68269231,en,2.60000000,,0,L,8.62,-170.11,,,
Morocco,Morocco,GPE,0.00000000,0.05555556,en,1.80000000,4037680-1,2542007,A,28.5,-10.0,AFRICA,Morocco,SAH
Brazil,Brazil,GPE,0.00000000,0.05555556,en,1.80000000,4008003-1,3469034,A,-10.0,-55.0,SOUTH-AMERICA,Brazil,SAM
Jerusalem,Jerusalem,GPE,0.25462963,0.34722222,en,1.80000000,4028586-8,281184,P,31.76904,35.21633,EUROPE-AFRICA,Israel,MED
Somaliland,Somaliland,GPE,0.25324675,0.71428571,en,1.10000000,7723745-6,328195,L,9.75,45.967,AFRICA,Somalia,NEAF
Italy,Italy,GPE,0.00000000,0.00000000,en,1.00000000,4027833-5,3175395,A,42.83333,12.83333,EUROPE-AFRICA,Italy,MED
Algeria,Algeria,GPE,0.00000000,0.00000000,en,1.00000000,4001179-3,2589581,A,28.0,3.0,AFRICA,Algeria,SAH
Palestine,Palestine,GPE,0.00000000,0.00000000,en,1.00000000,4044381-4,6254930,A,31.92157,35.20329,EUROPE-AFRICA,Palestinian Territory,MED
Geneva,Geneva,GPE,0.12500000,0.75000000,en,1.00000000,4020137-5,2660646,P,46.20222,6.14569,EUROPE,Switzerland,WCE
Ukraine,Ukraine,GPE,0.10833333,0.59166667,en,1.00000000,4061496-7,690791,A,49.0,32.0,EUROPE,Ukraine,WCE
Russia,Russia,GPE,0.10833333,0.59166667,en,1.00000000,4076899-5,2017370,A,60.0,100.0,ASIA,Russia,ESB
Kiev,Kiev,GPE,0.10833333,0.59166667,en,1.00000000,4030522-3,703448,P,50.45466,30.5238,EUROPE,Ukraine,WCE
