index,published,topic,term,domain,language,valid,de,title,description,en,la,url,image,archive,content,quote,added,feed,country,ipcc,continent
52c71fd03a2635ad91189cfff7b61e5c,2025-12-01T13:22:02Z,Thunderstorm,שלום ישראל,www.ynet.co.il,he,0.0,"CEO von Katsa: „Israel hat nicht das Privileg, seine Energiequellen nicht zu kontrollieren.“ CEO Amit Shaked wurde auf der Transport-, Infrastruktur- und Energiekonferenz von ynet und Yedioth Ahronoth interviewt und sagte, dass Israel durch das Unternehmen zu einer Brücke zwischen Asien und Europa werden werde. „Im Nahen Osten, wo Energie für Kriege und Friedensabkommen wichtig ist, tragen wir eine geopolitische Verantwortung“, sagte er. Ihm zufolge: „Wenn wir für einen Tag schließen – alle...","מנכ""ל קצא""א: ""לישראל אין פריבילגיה לא לשלוט במקורות האנרגיה שלה""","המנכ""ל עמית שקד התראיין בוועידת התחבורה, התשתיות והאנרגיה של ynet ו-""ידיעות אחרונות"", ואמר כי באמצעות החברה ישראל תהפוך לגשר בין אסיה לאירופה. ""במזרח תיכון שבו האנרגיה חשובה למלחמות והסכמי שלום, יש לנו אחריות גאופוליטית"", אמר. לדבריו, ""אם נסגור ליום אחד - כל …","CEO of Katsa: ""Israel does not have the privilege of not controlling its energy sources."" CEO Amit Shaked was interviewed at the transportation, infrastructure and energy conference of ynet and Yedioth Ahronoth, and said that through the company Israel will become a bridge between Asia and Europe. ""In the Middle East where energy is important for wars and peace agreements, we have a geopolitical responsibility,"" he said. According to him, ""If we close for one day - all...","CEO Katsa: ""Israel privilegium non habet fontes industriae suae non regendi"". CEO Amit Shaked adierunt ad translationem, infrastructuram et industriam colloquii Ynet et Yedioth Ahronoth, et dixit per societatem Israel pontem inter Asiam et Europam futurum esse. ""In Medio Oriente, ubi vis magna est propter bella et pacta pacis, habemus responsabilitatem geopoliticam"" dixit. Iuxta eum « Si unum diem claudamus - omnes...",https://www.ynet.co.il/news/article/h100twzi1111e,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/12/01/SJTpZbsbWe/SJTpZbsbWe_0_229_3000_1689_0_large.jpg,,""" "" () , ynet -"" "". - , . 
"" '', "", . "" . 75% , -100% '' ( ) , , , . , "".
: "" '' . , '' . ' ' ' ' '' , 24/7, . ' ' , "".
, : "" '' '' , . '' '' , - , , "". 
, "" , , . , '', . , , . '' "".
: "" . . , … [+95 chars]",,2025-12-12 19:32:11+00:00,wmo,Israel,MED,Asia
2c315a278dc9b9a492887aa6b417adec,2025-12-06T15:55:04Z,Thunderstorm,שלום ישראל,www.ynet.co.il,he,0.0,"Der libanesische Premierminister verpflichtet sich: „Abschluss der Abrüstung südlich von Litani – bis Ende des Jahres.“ Tage nach dem historischen Treffen israelischer Beamter in Naqura sagte der libanesische Premierminister Nauf Salam in einem Interview, dass alle Waffen der Hisbollah im Süden des Landes demontiert würden – in weniger als einem Monat. Zu den Verhandlungen mit Israel: „Es ist auf ein höheres Niveau gestiegen als das Militär“, wirtschaftliche Zusammenarbeit? „Noch nicht – erst nach Friedensabkommen“","ראש ממשלת לבנון מתחייב: ""השלמת פירוק הנשק מדרום לליטני - עד סוף השנה""","ימים אחרי הפגישה ההיסטורית של גורמים ישראליים בא-נאקורה, ראש ממשלת לבנון נואף סלאם אמר בריאיון כי כל הנשק של חיזבאללה בדרום המדינה יפורק - תוך פחות מחודש. על המו""מ עם ישראל: ""הוא עלה לרמה גבוהה יותר מהצבאית"", שיתוף פעולה כלכלי? ""עדיין לא - רק אחרי הסכם שלום""","The Prime Minister of Lebanon commits: ""Completing the disarmament south of Litani - by the end of the year."" Days after the historic meeting of Israeli officials in Naqura, Lebanese Prime Minister Nauf Salam said in an interview that all Hezbollah's weapons in the south of the country would be dismantled - in less than a month. On the negotiations with Israel: ""It rose to a higher level than the military"", economic cooperation? ""Not yet - only after a peace agreement""","Primus minister Libani committit: ""Perficiens indispositionem meridionalis Litani - in fine anni"". Diebus historicis post conventum principum Israelis Naqura, primus minister Nauf Salam Lebanese dixit in colloquio omnia arma Hezbollah in regione meridiana deponantur - intra mensem minus. De tractatu cum Israele: ""Numquid altius surrexit quam res militaris"", cooperatio oeconomica? ""Nondum - modo post concordiam pacis"";",https://www.ynet.co.il/news/article/syzskabgze,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/12/03/H1hwGxA11Wg/H1hwGxA11Wg_0_0_850_480_0_large.jpg,,"- "", , -, . "" , "" , , "", . 
"" , ?"", . "" . . , . - ' - , -"".",,2025-12-12 19:32:11+00:00,wmo,Israel,MED,Asia
ad69720a30fd7afdc69890fdfb9575df,2025-12-04T13:49:42Z,Storm,סערה ישראל,www.ynet.co.il,he,0.0,"Die Diskussion zur Eurovision-Teilnahme 2026 Live-Berichte. Die Frage der Teilnahme Israels am Eurovision Song Contest 2026 in Österreich, die seit einigen Monaten im Zentrum eines Sturms steht, wird derzeit in der Generalversammlung der European Broadcasting Union diskutiert. Dort wird endgültig entschieden, ob Israel am Eurovision Song Contest teilnehmen wird – oder ob die europäischen Länder dagegen stimmen werden",הדיון על השתתפות אירוויזיון ב-2026 | דיווחים חיים,"שאלת השתתפותה של ישראל באירוויזיון 2026 באוסטריה, שעמדה במרכז סערה שהלכה ונבנתה בחודשים האחרונים, נדונה בשעה זו באספה הכללית של איגוד השידור האירופי. שם יוחלט סופית אם ישראל תשתתף באירוויזיון - או שמא המדינות האירופיות יצביעו נגד","The discussion on Eurovision participation in 2026 Live reports. The question of Israel's participation in Eurovision 2026 in Austria, which was at the center of a storm that has been building for the past few months, is currently being discussed in the general assembly of the European Broadcasting Union. There it will be finally decided whether Israel will participate in Eurovision - or whether the European countries will vote against","Discussio de participatione Eurovisionis anno 2026 Ago tradit. Quaestio de participatione in Eurovisione 2026 in Austria, quae in media tempestate, quae per hos menses aedificata erat, nunc in conventu generali Unionis Europaeae radiophonicae disputatur. Ibi tandem constituetur utrum Israel Eurovisionem participet - an nationes Europaeae contra suffragium ferant",https://www.ynet.co.il/entertainment/article/byjxxzymbe,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/05/17/r1Z1EgPIZgx/r1Z1EgPIZgx_1_40_1027_579_0_large.jpg,,,,2025-12-13 02:23:34+00:00,wmo,Israel,MED,Asia
e11f663e5001406d7af21bdebf169c49,2025-12-08T13:02:00Z,Storm,סערה ישראל,www.ynet.co.il,he,0.0,"„Lassen Sie sich vom schicken Hotel verwirren“: Die Empfehlung des ehemaligen Flugschulkommandanten für den Umgang mit Kadetten. Die Festnahme von 15 Pilotenschülern, die Alkohol tranken und Informationen preisgaben, sorgte für Aufsehen, doch Brigadegeneral Relik Shapir glaubt, dass dies „die Luftwaffe nicht erschüttert“. Im Schatten der Gefangenschaftswerkstatt, die sie erlebten, sagte er, dass „die Kommandeure sich der Notwendigkeit, unter geschlossenen Bedingungen und nicht in einem Luxushotel zu arbeiten, nicht bewusst genug waren“, stellte jedoch klar: „Es ist nicht gefährlich.“ Bestrafung? ""Nach...","""התבלבלו מהמלון המפואר"": המלצת מפקד בית הספר לטיסה לשעבר לטיפול בצוערים","מעצר 15 חניכי הטיס ששתו אלכוהול וחשפו מידע עורר סערה, אך תא""ל במיל' ישראל רליק שפיר סבור כי זה ""לא מטלטל את חיל האוויר"". בצל סדנת השבי שחוו, אמר כי ""המפקדים לא היו מספיק עירניים לצורך לעבד בתנאים סגורים, ולא במלון מפנק"", אך הבהיר: ""מסוכן זה לא"". ענישה? ""אחרי …","""Get confused by the fancy hotel"": the former flight school commander's recommendation for treating cadets. The arrest of 15 pilot trainees who drank alcohol and disclosed information caused a stir, but Brigadier General Relik Shapir believes that this ""does not shake the Air Force"". In the shadow of the captivity workshop they experienced, he said that ""the commanders were not alert enough to the need to work in closed conditions, and not in a luxurious hotel"", but clarified: ""It is not dangerous."" Punishment? ""After...","""Get turbari per deversorium phantasiae"": illa fugae schola ducis commendatio pro cadets tractandis. Comprehensio 15 gubernatorum traminum qui alcoholem biberunt et informationes detexerunt motus excitaverunt, sed Brigadier Generalis Relik Shapir credit hoc ""Aeris Force non commovere"". In umbra captivitatis officinam quam experti sunt, dixit ""imperatores non satis erecti ad necessitatem operis in condicionibus clausis, et non in deversorio luxurioso"", sed declaravit: ""Non est periculosum"". Supplicium? ""Postquam...",https://www.ynet.co.il/news/article/b1xcjw4gwe,https://ynet-pic1.yit.co.il/picserver6/crop_images/2024/06/27/SkQf4TQj8A/SkQf4TQj8A_16_164_1205_678_0_large.jpg,,", - ' , () 15 , ynet "" , "".
"" , "", , : "" , "". , "" . , ' ' "". 
- , "" . , , , , . . , - . , , "". 
"" , , ' ' , "", . "" , . - "". : "" , . "".",,2025-12-13 02:23:34+00:00,wmo,Israel,MED,Asia
09bb6c9166a9070b3c571c33e6174c1f,2025-12-01T14:19:20Z,Drought,בצורת ישראל,www.ynet.co.il,he,0.0,"„Die U-Bahn ist ein lebensveränderndes Projekt. Ihr sollte Priorität eingeräumt werden.“ „Unsere größte Herausforderung besteht darin, den Staat Israel auf das Jahr 2045 vorzubereiten. Wir befinden uns in Jahren der Dürre und müssen uns jetzt vorbereiten“, sagte Eyal Ben David von Mekorot auf der Transport-, Infrastruktur- und Energiekonferenz Ynet und „Yediot Ahronoth“. Doron Shelgi von der Electric Company warnt vor einem Anstieg des Stromverbrauchs nach der Energierevolution...","""המטרו זה פרויקט משנה חיים. צריך לשים אותו בראש סדר העדיפויות""","האתגר המרכזי שלנו , זה להכין את מדינת ישראל לשנת 2045. אנחנו בשנות בצורת וצריך להיערך כבר מעכשיו"", כך אמר אייל בן דוד מחברת מקורות בוועידת התחבורה, התשתיות והאנרגיה של ynet ו""ידיעות אחרונות"". דורון שלגי מחברת החשמל מזהיר מזינוק בצריכת החשמל בעקבות מהפכת האנרג…","""The metro is a life-changing project. It should be made a priority."" Our main challenge is to prepare the State of Israel for 2045. We are in years of drought and we need to prepare now,"" said Eyal Ben David of Mekorot at the Ynet and ""Yediot Ahronoth"" transportation, infrastructure and energy conference. Doron Shelgi of the Electric Company warns of a surge in electricity consumption following the energy revolution...","""Metrum est propositum commutabile. Sic debet fieri prioritas."" Praecipua nostra provocatio est rem publicam Israelis pro 2045. In annis siccitatis praeparare nunc debemus"", Eyal Ben David de Mekorot dixit in Ynet et ""Yediot Ahronoth"" translationem, infrastructuram et industriam colloquii. Doron Shelgi de Societas Electrica monet de machinis electricitatis secundum industriam revolutionis ...",https://www.ynet.co.il/economy/article/hjlvsfizwg,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/12/01/By4HxRgiZ11l/By4HxRgiZ11l_0_237_3000_1688_0_large.jpg,,""" . "", "" ynet , ynet "" "". , "" . . "".
"" "", , "" . 10 . . . 100 .

"" . - , "", . "" -AI. . . -2030: 30% , .",,2025-12-13 04:52:32+00:00,edo,Israel,MED,Asia
9682146af92e4b12b91dde5e774997c8,2025-12-14T10:02:39Z,Storm,גל סערה ישראל,www.ynet.co.il,he,0.0,"„Manisha Baby Killers“: Taylor Swifts Doku wird Israel daran erinnern und die Fans kochen. Die neue Doku-Serie der Sängerin, „Taylor Swift: The End of an Era“, sorgte im Netz wegen zweier Anspielungen auf Israel für Aufruhr. Die verärgerten Surfer behaupten, Swift habe sich bewusst dafür entschieden, die Segmente einzubeziehen und von ihr eine pro-palästinensische Haltung zu fordern. „Jetzt wissen wir, warum Tay sich nicht gegen Völkermord ausspricht“, schrieb sie …","""מאנישה רוצחי תינוקות"": הדוקו של טיילור סוויפט אזכר את ישראל והמעריצים רותחים","סדרת הדוקו החדשה של הזמרת, ""טיילור סוויפט: The End of an Era"", עוררה סערה ברשת בגלל שני אזכורים של ישראל. הגולשים הכועסים טוענים שסוויפט בחרה בכוונה לכלול את הקטעים ודורשים ממנה לנקוט עמדה פרו-פלסטינית. ""עכשיו אנחנו יודעים למה טיי לא מתבטאת נגד רצח עם"", כתבה …","""Manisha baby killers"": Taylor Swift's docu will remind Israel and the fans are boiling. The singer's new docu-series, ""Taylor Swift: The End of an Era"", caused an uproar online because of two references to Israel. The angry surfers claim that Swift deliberately chose to include the segments and demand that she take a pro-Palestinian stance. ""Now we know why Tay doesn't speak out against genocide,"" she wrote...","""Infantem Manisha interfectores"": Taylor Swift docu Israel admonebit et in fans fervet. The cantor's new docu-series, ""Taylor Swift: The End of an Era"", tumultum online causavit propter duo references ad Israel. Surferes irati affirmant Celerem deliberate velle segmenta includere et postulare ut suam substantiam pro-Palaestinam capiat. ""Nunc scimus cur Taum contra genocidem non loquatur"" scripsit...",https://www.ynet.co.il/entertainment/article/r1uyhehzze,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/08/17/rkeCvQytle/rkeCvQytle_795_51_1664_937_0_large.jpg,,"I never liked Taylor swift but this is just beyond embarrassing, you willingly made the choice to include Israel in your documentary, beyond disgusting pic.twitter.com/tr7BY0WjVr
— Jinora (@Honestji… [+22 chars]",,2025-12-15 13:27:27+00:00,wmo,Israel,MED,Asia
89b9ad00e69858de6cf476c039c5516d,2025-12-19T17:37:08Z,Thunderstorm,שלום ישראל,www.ynet.co.il,he,0.0,"„Wenn die Hamas wieder Raketen abfeuern kann, wird es keinen Frieden geben“: Amerikanischer Druck und die explosive Lage in Gaza. Der amerikanische Außenminister Rubio stellte fest, dass bei Trumps Plan für Gaza Fortschritte erzielt worden seien, stellte jedoch klar, dass „es noch ein weiter Weg vor uns liegt“. Er betonte, dass das Ziel klar sei – „dass die Hamas Israel nicht bedrohen kann“ und verwies auch auf die Aktivitäten der Internationalen Stabilisierungstruppe und den Wiederaufbau des Gazastreifens: „Es ist unmöglich, Länder davon zu überzeugen, in Gaza zu investieren, wenn sie...“","""אם חמאס יוכל לשגר שוב רקטות - לא יהיה שלום"": הלחץ האמריקני, והמצב הנפיץ בעזה","מזכיר המדינה האמריקני רוביו ציין כי חלה התקדמות בתוכנית טראמפ לעזה, אך הבהיר כי ""יש עוד דרך לעבור"". הוא הדגיש כי המטרה ברורה - ""שחמאס לא יוכל לאיים על ישראל"", והתייחס גם לפעילות כוח הייצוב הבינלאומי ולשיקום הרצועה: ""אי-אפשר לשכנע מדינות להשקיע בעזה, אם הן מאמ…","""If Hamas can launch rockets again - there will be no peace"": American pressure, and the explosive situation in Gaza. American Secretary of State Rubio noted that progress has been made in the Trump plan for Gaza, but clarified that ""there is still a way to go."" He emphasized that the goal is clear - ""for Hamas not to be able to threaten Israel"", and also referred to the activities of the International Stabilization Force and the reconstruction of the Strip: ""It is impossible to convince countries to invest in Gaza, if they...","""Si Hamas iterum eliminare potest - pax non erit"": pressio American, et condicio explosivae in Gaza. American Secretarius Status Rubio notavit profectum esse in Trump Gazae consilium, sed declaravit ""via adhuc esse"". Propositum declaravit patet - ""nam Hamas Israeli minari non posse"", atque etiam ad actiones Stabilizationis Internationalis vis ac schismatis instaurationem retulisse: ""Impossibile est persuadere regiones ut Gazam obsideant, si fuerint...",https://www.ynet.co.il/news/article/r1p47zqm11x,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/10/24/rJsbsRuRxe/rJsbsRuRxe_0_0_3000_1688_0_large.jpg,,""" , - -7 "", () . , "" , "" "".
, , : "" , , , "". , "" , , "".",,2025-12-21 13:10:24+00:00,wmo,Israel,MED,Asia
a44dd2196104e0337324b1c2ae0f10ac,2025-12-19T20:47:49Z,Thunderstorm,שלום ישראל,www.ynet.co.il,he,0.0,"Der gefundene Tunnel, der Weg zur Entwaffnung der Hisbollah – und die Gespräche mit Israel. Eine Momentaufnahme aus dem Libanon. In Saudi-Arabien wurde berichtet, dass die libanesische Armee im Süden des Landes einen Hisbollah-Tunnel entdeckt hat, der Waffen und Ausrüstung enthält, und dass der Abbau des Ortes mehrere Tage dauern wird. Rubio betonte, dass zur Entwaffnung der Hisbollah eine starke libanesische Regierung nötig sei und fügte hinzu: „Wenn die Hisbollah Israel bedroht, wird es keinen Frieden geben. Wir hoffen, dass die Gespräche zwischen Libanon und Israel...","המנהרה שאותרה, הדרך לפירוז חיזבאללה - והשיחות עם ישראל | תמונת מצב מלבנון","בסעודיה דווח כי צבא לבנון איתר בדרום המדינה מנהרת חיזבאללה שמכילה נשק וציוד, וכי פירוק המקום יימשך כמה ימים. רוביו הדגיש שכדי לפרק את חיזבאללה מנשקו - צריך ממשלה לבנונית חזקה, והוסיף: ""אם חיזבאללה יאיים על ישראל - לא יהיה שלום. מקווים שהשיחות בין לבנון וישראל…","The tunnel that was located, the way to disarm Hezbollah - and the talks with Israel A snapshot from Lebanon. In Saudi Arabia it was reported that the Lebanese army located a Hezbollah tunnel in the south of the country that contains weapons and equipment, and that the dismantling of the place will take several days. Rubio emphasized that in order to disarm Hezbollah - a strong Lebanese government is needed, and added: ""If Hezbollah threatens Israel - there will be no peace. We hope that the talks between Lebanon and Israel...","Cuniculum quod situm erat, via ad exarmandum Hezbollah - et loquitur cum Israel A snapshot de Libano. In Arabia Saudiana nuntiatum est exercitum Lebanesium quoddam Hezbollah cuniculum ad meridiem regionis situm, quod arma et arma continet, et loci commotionem complures dies habiturum. Rubio inculcavit quod ad exarmandum Hezbollah - validum imperium Lebanese opus est, et addidit: ""Si Hezbollah Israeli imminet - non erit pax. Speramus fore ut colloquia inter Libanum et Israelem"".",https://www.ynet.co.il/news/article/ryxd27mxbl,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/11/28/BkbHAKDbbe/BkbHAKDbbe_0_182_3000_1688_0_large.jpg,,""" , , - "", . "" , . , . "".
"" 13 "" "" , . "", - - . , """" .",,2025-12-21 13:10:24+00:00,wmo,Israel,MED,Asia
2c39a367b0ac9a8f715e3134e18e92bc,2025-12-22T14:39:13Z,Storm,סערה ישראל,www.ynet.co.il,he,0.0,"Ein Aufruhr in Deutschland wegen eines Gemäldes von Anne Frank mit einer Bäckerei. Die israelische Botschaft und jüdische Organisationen fordern die Entfernung eines Werks des italienischen Künstlers Constantino Cervo mit der Begründung, dass es Israel mit den Nazis vergleicht und der Erinnerung an den Holocaust schade; Der Künstler und die Museumsleitung beanspruchen künstlerische Freiheit und legitime politische Kritik",סערה בגרמניה סביב ציור של אנה פרנק עם כאפייה,"שגרירות ישראל וארגונים יהודיים דורשים להסיר עבודה של האמן האיטלקי קונסטנטינו צ'רבו, בטענה להשוואה בין ישראל לנאצים ולפגיעה בזכר השואה; האמן והנהלת המוזיאון טוענים לחופש אמנות ולביקורת פוליטית לגיטימית","An uproar in Germany over a painting of Anne Frank with a bakery. The Israeli embassy and Jewish organizations demand the removal of a work by the Italian artist Constantino Cervo, arguing that it compares Israel to the Nazis and harms the memory of the Holocaust; The artist and the museum management claim artistic freedom and legitimate political criticism","Tumultus in Germania super picturam Annae Frank cum pistrino. Legatio Israelis et Instituta Iudaica postulant remotionem operis ab Italico Constantino Cervo artifex, contendens Israelem comparare Nazis et Holocaustum laedit memoriam; Artifex et musei administratio libertatem artisticam et legitimam criticam politicam vindicant",https://www.ynet.co.il/judaism/article/hjexmrixwe,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/12/22/Hketk68Q11g/Hketk68Q11g_0_0_1920_1080_0_large.jpg,,", ""- "", , 92 138 , . : , , . , , -. 
, . "" "", -X . "", : , , , "".",,2025-12-23 16:57:13+00:00,wmo,Israel,MED,Asia
178fee36613205a61314100d0531a361,2025-12-24T11:29:57Z,Thunderstorm,שלום ישראל,www.ynet.co.il,he,0.0,"Garantie ohne Deckung. Selbstgefällig und scherzhaft versprach Verteidigungsminister Israel Katz, Nahal-Atomwaffen im Gazastreifen zu bauen, entschuldigte sich jedoch wenige Stunden später. Die Gefahr besteht darin, dass derjenige, der für den Frieden von uns allen verantwortlich ist, nur an die Likud-Mitte denkt",הבטחה ללא כיסוי,"כשהוא זחוח ומבודח, התחייב שר הביטחון ישראל כ""ץ להקים גרעיני נח""ל ברצועת עזה, רק כדי להתנצל אחרי כמה שעות. הסכנה היא שמי שממונה על שלום כולנו חושב רק על מרכז הליכוד","Guarantee without coverage. Being smug and joking, Defense Minister Israel Katz pledged to build Nahal nuclear weapons in the Gaza Strip, only to apologize a few hours later. The danger is that whoever is in charge of the peace of all of us thinks only of the Likud center","Spondet sine coverage. Cum placentia et iocari, Ministri defensionis Israel Katz obligaverunt ut arma nuclearia in Gaza Strip aedificarent, solum paucis horis post se excusare. Periculum est, quod quicumque pacem omnium nostrum praeest, solum de Likud centrum cogitat",https://www.ynet.co.il/news/article/yokra14623666,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/07/16/SJIj0xrLgg/SJIj0xrLgg_0_0_1280_721_0_large.jpg,,"24', 72 -14 , "", , . "" "", , "" "". "" "". """" 200 , , , "" . """" "" , , - "" 1,200 .
, "" , , , : "" "", """", , "" "". , "" "" "", "" "". , "" .
. , , . "". , -, , , "" . , , . , , 3,000 . -, , . , "" . , 3,000 , , , .
""… [+29 chars]",,2025-12-25 16:55:40+00:00,wmo,Israel,MED,Asia
